col_name,value_type,categorical,attribute,type,onehot
rid,string,info,I,S,
testset,categorical,info,I,C,
mets,categorical,info,I,C,
mets_num,numeric,info,I,N,
RMRS,numeric,info,I,N,
RMRS_type,categorical,info,I,C,
case,categorical,info,I,C,
sex,categorical,anthropometric,A,C,
age,numeric,anthropometric,A,N,
height,numeric,anthropometric,A,N,
weight,numeric,anthropometric,A,N,
wc,numeric,anthropometric,A,N,
hip,numeric,anthropometric,A,N,
pulse,numeric,anthropometric,A,N,
sbp,numeric,anthropometric,A,N,
dbp,numeric,anthropometric,A,N,
bmi,numeric,anthropometric,AS,N,
whr,numeric,anthropometric,AS,N,
WHtR,numeric,anthropometric,AS,N,
BFP,numeric,anthropometric,AS,N,
WC,numeric,synthesized,A,N,
BP,numeric,synthesized,AM,N,
SBP,numeric,synthesized,A,N,
DBP,numeric,synthesized,A,N,
BPWC_con,numeric,synthesized,AM,N,
BPWC_mul,numeric,synthesized,AM,N,
BPWC_add,numeric,synthesized,AM,N,
BPWC_dif,numeric,synthesized,AM,N,
bWC,numeric,synthesized,AM,N,
CUNBAE,numeric,anthropometric,AS,N,
CINDEX,numeric,anthropometric,AS,N,
AVI,numeric,anthropometric,AS,N,
BAI,numeric,anthropometric,AS,N,
BRI,numeric,anthropometric,AS,N,
ABSI,numeric,anthropometric,AS,N,
fhtn,categorical,survey-based,L1,C,
fdm,categorical,survey-based,L1,C,
fmi,categorical,survey-based,L1,C,
fcva,categorical,survey-based,L1,C,
fca_merge,categorical,survey-based,L1,C,Y
smoke_merge,categorical,survey-based,L1,C,Y
sm_total,numeric,survey-based,L1,N,
drink,categorical,survey-based,L1,C,Y
drdu,categorical,survey-based,L1,C,Y
dr_total,numeric,survey-based,L1,N,
dr_soju,numeric,survey-based,L1,N,
dr_beer,numeric,survey-based,L1,N,
dr_tak,numeric,survey-based,L1,N,
dr_rice,numeric,survey-based,L1,N,
dr_wine,numeric,survey-based,L1,N,
dr_hliq,numeric,survey-based,L1,N,
dr_fruwine,numeric,survey-based,L1,N,
sleep_merge,categorical,survey-based,L1,C,Y
exer_merge,numeric,survey-based,L1,N,
eat2,categorical,survey-based,L1,C,Y
eat5,categorical,survey-based,L1,C,Y
fry_merge,categorical,survey-based,L1,C,Y
ss01,numeric,survey-based,L2,N,
ss02,numeric,survey-based,L2,N,
ss03,numeric,survey-based,L2,N,
ss04,numeric,survey-based,L2,N,
ss05,numeric,survey-based,L2,N,
ss06,numeric,survey-based,L2,N,
ss07,numeric,survey-based,L2,N,
ss08,numeric,survey-based,L2,N,
ss09,numeric,survey-based,L2,N,
ss10,numeric,survey-based,L2,N,
ss11,numeric,survey-based,L2,N,
ss12,numeric,survey-based,L2,N,
ss13,numeric,survey-based,L2,N,
ss14,numeric,survey-based,L2,N,
ss15,numeric,survey-based,L2,N,
ss16,numeric,survey-based,L2,N,
ss17,numeric,survey-based,L2,N,
ss18,numeric,survey-based,L2,N,
ss19,numeric,survey-based,L2,N,
ss20,numeric,survey-based,L2,N,
ss21,numeric,survey-based,L2,N,
ss23,numeric,survey-based,L2,N,
ss24,numeric,survey-based,L2,N,
w001,numeric,survey-based,L2,N,
w002,numeric,survey-based,L2,N,
w003,numeric,survey-based,L2,N,
w004,numeric,survey-based,L2,N,
w005,numeric,survey-based,L2,N,
w006,numeric,survey-based,L2,N,
w007,numeric,survey-based,L2,N,
w008,numeric,survey-based,L2,N,
w009,numeric,survey-based,L2,N,
w010,numeric,survey-based,L2,N,
w011,numeric,survey-based,L2,N,
w012,numeric,survey-based,L2,N,
w013,numeric,survey-based,L2,N,
w014,numeric,survey-based,L2,N,
w015,numeric,survey-based,L2,N,
w016,numeric,survey-based,L2,N,
w017,numeric,survey-based,L2,N,
w018,numeric,survey-based,L2,N,
w019,numeric,survey-based,L2,N,
w020,numeric,survey-based,L2,N,
w021,numeric,survey-based,L2,N,
w022,numeric,survey-based,L2,N,
w023,numeric,survey-based,L2,N,
w024,numeric,survey-based,L2,N,
w025,numeric,survey-based,L2,N,
w026,numeric,survey-based,L2,N,
w027,numeric,survey-based,L2,N,
w028,numeric,survey-based,L2,N,
w029,numeric,survey-based,L2,N,
w030,numeric,survey-based,L2,N,
w031,numeric,survey-based,L2,N,
w032,numeric,survey-based,L2,N,
w033,numeric,survey-based,L2,N,
w034,numeric,survey-based,L2,N,
w035,numeric,survey-based,L2,N,
w036,numeric,survey-based,L2,N,
w037,numeric,survey-based,L2,N,
w038,numeric,survey-based,L2,N,
w039,numeric,survey-based,L2,N,
w040,numeric,survey-based,L2,N,
w041,numeric,survey-based,L2,N,
w042,numeric,survey-based,L2,N,
w043,numeric,survey-based,L2,N,
w044,numeric,survey-based,L2,N,
w045,numeric,survey-based,L2,N,
w046,numeric,survey-based,L2,N,
w047,numeric,survey-based,L2,N,
w048,numeric,survey-based,L2,N,
w049,numeric,survey-based,L2,N,
w050,numeric,survey-based,L2,N,
w051,numeric,survey-based,L2,N,
w052,numeric,survey-based,L2,N,
w053,numeric,survey-based,L2,N,
w054,numeric,survey-based,L2,N,
w055,numeric,survey-based,L2,N,
w056,numeric,survey-based,L2,N,
w057,numeric,survey-based,L2,N,
w058,numeric,survey-based,L2,N,
w059,numeric,survey-based,L2,N,
w060,numeric,survey-based,L2,N,
w061,numeric,survey-based,L2,N,
w062,numeric,survey-based,L2,N,
w063,numeric,survey-based,L2,N,
w064,numeric,survey-based,L2,N,
w065,numeric,survey-based,L2,N,
w066,numeric,survey-based,L2,N,
w067,numeric,survey-based,L2,N,
w068,numeric,survey-based,L2,N,
w069,numeric,survey-based,L2,N,
w070,numeric,survey-based,L2,N,
w071,numeric,survey-based,L2,N,
w072,numeric,survey-based,L2,N,
w073,numeric,survey-based,L2,N,
w074,numeric,survey-based,L2,N,
w075,numeric,survey-based,L2,N,
w076,numeric,survey-based,L2,N,
w077,numeric,survey-based,L2,N,
w078,numeric,survey-based,L2,N,
w079,numeric,survey-based,L2,N,
w080,numeric,survey-based,L2,N,
w081,numeric,survey-based,L2,N,
w082,numeric,survey-based,L2,N,
w083,numeric,survey-based,L2,N,
w084,numeric,survey-based,L2,N,
w085,numeric,survey-based,L2,N,
w086,numeric,survey-based,L2,N,
w087,numeric,survey-based,L2,N,
w088,numeric,survey-based,L2,N,
w089,numeric,survey-based,L2,N,
w090,numeric,survey-based,L2,N,
w091,numeric,survey-based,L2,N,
w092,numeric,survey-based,L2,N,
w093,numeric,survey-based,L2,N,
w094,numeric,survey-based,L2,N,
w095,numeric,survey-based,L2,N,
w096,numeric,survey-based,L2,N,
w097,numeric,survey-based,L2,N,
w098,numeric,survey-based,L2,N,
w099,numeric,survey-based,L2,N,
w100,numeric,survey-based,L2,N,
w101,numeric,survey-based,L2,N,
w102,numeric,survey-based,L2,N,
w103,numeric,survey-based,L2,N,
w104,numeric,survey-based,L2,N,
w105,numeric,survey-based,L2,N,
w106,numeric,survey-based,L2,N,
G1_INT,numeric,synthesized,LS,N,
G2_INT,numeric,synthesized,LS,N,
G3_INT,numeric,synthesized,LS,N,
G3_INT2,numeric,synthesized,LS,N,
G4_INT,numeric,synthesized,LS,N,
G5_INT,numeric,synthesized,LS,N,
G6_INT,numeric,synthesized,LS,N,
white,numeric,synthesized,LS,N,
red,numeric,synthesized,LS,N,
wrm,numeric,synthesized,LS,N,
salt,numeric,synthesized,L2,N,
emte,numeric,synthesized,LS,N,
fate,numeric,synthesized,LS,N,
regr,numeric,synthesized,LS,N,
clbe,numeric,synthesized,LS,N,
regrp1,numeric,synthesized,LS,N,
regrp2,numeric,synthesized,LS,N,
regrp3,numeric,synthesized,LS,N,
regrp4,numeric,synthesized,LS,N,
regrp5,numeric,synthesized,LS,N,
regrp6,numeric,synthesized,LS,N,
regrp7,numeric,synthesized,LS,N,
regrp8,numeric,synthesized,LS,N,
regrp9,numeric,synthesized,LS,N,
regrp10,numeric,synthesized,LS,N,
regrp11,numeric,synthesized,LS,N,
regrp12,numeric,synthesized,LS,N,
regrp13,numeric,synthesized,LS,N,
regrp14,numeric,synthesized,LS,N,
regrp15,numeric,synthesized,LS,N,
regrp16,numeric,synthesized,LS,N,
regrp17,numeric,synthesized,LS,N,
regrp18,numeric,synthesized,LS,N,
regrp19,numeric,synthesized,LS,N,
regrp20,numeric,synthesized,LS,N,
regrp21,numeric,synthesized,LS,N,
regrp22,numeric,synthesized,LS,N,
regrp23,numeric,synthesized,LS,N,
regrp24,numeric,synthesized,LS,N,
regrp25,numeric,synthesized,LS,N,
regrp26,numeric,synthesized,LS,N,
regrp27,numeric,synthesized,LS,N,
regrp28,numeric,synthesized,LS,N,
regrp29,numeric,synthesized,LS,N,
regrp30,numeric,synthesized,LS,N,
regrp31,numeric,synthesized,LS,N,
regrp32,numeric,synthesized,LS,N,
regrp33,numeric,synthesized,LS,N,
regrp34,numeric,synthesized,LS,N,
regrp35,numeric,synthesized,LS,N,
regrp36,numeric,synthesized,LS,N,
regrp37,numeric,synthesized,LS,N,
regrp38,numeric,synthesized,LS,N,
regrp39,numeric,synthesized,LS,N,
regrp40,numeric,synthesized,LS,N,
regrp41,numeric,synthesized,LS,N,
regrp42,numeric,synthesized,LS,N,
regrp43,numeric,synthesized,LS,N,
